,vessel,end_port_id,begin_port_id
130,16,115,55.0
131,17,11,84.0
132,17,84,37.0
133,17,37,27.0
134,17,27,7.0
135,17,7,7.0
136,18,70,32.0
137,18,32,149.0
138,18,149,149.0
139,18,149,138.0
140,18,138,138.0
141,18,138,134.0
142,18,134,134.0
143,18,134,10.0
144,18,10,10.0
145,18,10,10.0
146,18,10,10.0
147,18,10,44.0
148,18,44,165.0
149,18,165,165.0
150,18,165,165.0
151,18,165,165.0
152,18,165,165.0
153,18,165,165.0
154,18,165,165.0
155,18,165,165.0
156,18,165,58.0
157,18,58,58.0
158,18,58,58.0
159,18,58,100.0
160,19,147,35.0
161,19,35,23.0
162,19,23,147.0
163,19,147,147.0
164,19,147,45.0
165,19,45,114.0
166,19,114,35.0
167,19,35,147.0
168,19,147,23.0
169,19,23,136.0
170,19,136,56.0
171,20,91,56.0
172,20,56,115.0
173,20,115,115.0
174,21,23,138.0
175,21,138,46.0
176,22,72,72.0
177,22,72,72.0
178,22,72,72.0
179,22,72,72.0
180,22,72,72.0
181,22,72,72.0
182,22,72,72.0
183,22,72,72.0
184,22,72,72.0
185,22,72,72.0
186,22,72,72.0
187,22,72,72.0
188,22,72,72.0
189,22,72,72.0
190,22,72,72.0
191,22,72,10.0
192,22,10,19.0
193,22,19,10.0
194,22,10,10.0
195,22,10,10.0
196,22,10,96.0
197,22,96,96.0
198,22,96,96.0
199,22,96,10.0
200,22,10,96.0
201,22,96,160.0
202,22,160,160.0
203,22,160,160.0
204,22,160,100.0
205,22,100,100.0
206,23,7,156.0
207,23,156,156.0
208,23,156,111.0
209,23,111,140.0
210,23,140,140.0
211,23,140,10.0
212,23,10,10.0
213,23,10,10.0
214,23,10,7.0
215,23,7,99.0
216,23,99,99.0
217,23,99,99.0
218,23,99,154.0
219,23,154,154.0
220,23,154,154.0
221,23,154,59.0
222,24,23,160.0
223,24,160,136.0
224,25,104,104.0
225,25,104,104.0
226,25,104,149.0
227,25,149,149.0
228,25,149,156.0
229,25,156,14.0
230,25,14,10.0
231,25,10,10.0
232,25,10,27.0
233,25,27,27.0
234,25,27,23.0
235,25,23,10.0
236,25,10,96.0
237,25,96,96.0
238,25,96,10.0
239,25,10,10.0
240,25,10,33.0
241,26,23,147.0
242,26,147,80.0
243,27,7,13.0
244,27,13,139.0
245,27,139,138.0
246,28,44,91.0
247,29,147,23.0
248,29,23,147.0
249,30,91,138.0
250,30,138,138.0
251,31,82,93.0
252,31,93,93.0
253,31,93,138.0
254,31,138,83.0
255,31,83,32.0
256,32,87,91.0
257,33,154,152.0
258,34,82,35.0
259,35,160,138.0
260,35,138,160.0
261,36,10,10.0
262,36,10,96.0
263,36,96,10.0
264,36,10,140.0
265,36,140,96.0
266,36,96,97.0
267,36,97,97.0
268,36,97,97.0
269,36,97,121.0
270,36,121,99.0
271,36,99,99.0
272,36,99,30.0
273,36,30,30.0
274,36,30,99.0
275,36,99,99.0
276,36,99,99.0
277,36,99,111.0
278,36,111,76.0
279,36,76,76.0
280,36,76,104.0
281,36,104,104.0
282,36,104,104.0
283,36,104,13.0
284,37,121,115.0
285,38,82,82.0
286,38,82,36.0
287,38,36,36.0
288,38,36,36.0
289,38,36,53.0
290,38,53,140.0
291,38,140,138.0
292,38,138,138.0
293,38,138,53.0
294,38,53,51.0
295,38,51,34.0
296,38,34,115.0
297,38,115,115.0
298,38,115,115.0
299,38,115,100.0
300,39,57,91.0
301,39,91,91.0
302,39,91,160.0
303,39,160,160.0
304,40,20,10.0
305,40,10,99.0
306,41,34,72.0
307,41,72,72.0
308,42,80,80.0
309,42,80,10.0
310,42,10,10.0
311,42,10,10.0
312,42,10,54.0
313,42,54,54.0
314,43,51,51.0
315,44,72,104.0
316,44,104,54.0
317,45,58,70.0
318,46,30,30.0
319,46,30,92.0
320,46,92,30.0
321,46,30,165.0
322,47,15,15.0
323,47,15,136.0
324,47,136,46.0
325,47,46,126.0
326,47,126,120.0
327,47,120,19.0
328,48,98,54.0
329,48,54,115.0
330,48,115,115.0
331,49,88,88.0
332,49,88,138.0
333,50,72,72.0
334,50,72,72.0
335,50,72,72.0
336,50,72,115.0
337,51,72,115.0
338,51,115,115.0
339,51,115,57.0
340,53,13,13.0
341,53,13,149.0
342,53,149,115.0
343,53,115,138.0
344,53,138,165.0
345,53,165,33.0
346,54,92,149.0
347,54,149,115.0
348,55,10,96.0
349,55,96,140.0
350,55,140,31.0
351,56,83,19.0
352,56,19,136.0
353,56,136,10.0
354,56,10,20.0
355,56,20,10.0
356,56,10,31.0
357,56,31,31.0
358,56,31,93.0
359,56,93,93.0
360,56,93,24.0
361,56,24,105.0
362,56,105,10.0
363,56,10,10.0
364,57,34,72.0
365,57,72,97.0
366,57,97,97.0
367,57,97,97.0
368,57,97,30.0
369,57,30,30.0
370,57,30,30.0
371,57,30,111.0
372,57,111,111.0
373,57,111,156.0
374,57,156,156.0
375,57,156,30.0
376,57,30,30.0
377,57,30,30.0
378,57,30,30.0
379,57,30,22.0
380,57,22,22.0
381,57,22,22.0
382,57,22,32.0
383,57,32,32.0
384,57,32,32.0
385,57,32,32.0
386,57,32,32.0
387,57,32,115.0
388,57,115,115.0
389,57,115,35.0
390,57,35,138.0
391,57,138,138.0
392,58,138,138.0
393,58,138,138.0
394,60,101,10.0
395,61,13,104.0
396,61,104,7.0
397,62,80,80.0
398,62,80,154.0
399,62,154,54.0
400,62,54,7.0
401,62,7,54.0
402,62,54,33.0
403,63,111,104.0
404,63,104,156.0
405,64,71,108.0
406,64,108,71.0
407,64,71,71.0
408,65,38,11.0
409,65,11,54.0
410,67,70,115.0
411,67,115,104.0
412,67,104,115.0
413,67,115,32.0
414,68,168,168.0
415,68,168,149.0
416,68,149,104.0
417,68,104,54.0
418,68,54,104.0
419,68,104,54.0
420,68,54,54.0
421,69,14,104.0
422,70,14,104.0
423,71,72,70.0
424,73,100,76.0
425,73,76,156.0
426,73,156,156.0
427,73,156,100.0
428,73,100,100.0
429,73,100,138.0
430,74,138,55.0
431,76,13,13.0
432,76,13,115.0
433,76,115,73.0
434,76,73,98.0
435,76,98,98.0
436,76,98,92.0
437,76,92,115.0
438,76,115,100.0
439,76,100,100.0
440,79,100,177.0
441,79,177,58.0
442,81,32,115.0
443,81,115,115.0
444,81,115,104.0
445,81,104,104.0
446,81,104,149.0
447,81,149,104.0
448,81,104,149.0
449,81,149,149.0
450,81,149,149.0
451,81,149,149.0
452,81,149,104.0
453,81,104,104.0
454,81,104,177.0
455,81,177,177.0
456,81,177,58.0
457,81,58,58.0
458,81,58,58.0
459,81,58,58.0
460,81,58,32.0
461,81,32,115.0
462,81,115,115.0
463,81,115,115.0
464,81,115,19.0
465,81,19,10.0
466,81,10,10.0
467,81,10,10.0
468,81,10,105.0
469,82,99,99.0
470,82,99,37.0
471,82,37,80.0
472,83,51,100.0
473,83,100,100.0
474,83,100,100.0
475,83,100,65.0
476,83,65,156.0
477,83,156,13.0
478,83,13,13.0
479,84,111,111.0
480,84,111,143.0
481,84,143,88.0
482,85,72,76.0
483,86,7,90.0
484,86,90,90.0
485,86,90,90.0
486,86,90,90.0
487,87,100,139.0
488,87,139,139.0
489,87,139,104.0
490,87,104,14.0
491,87,14,7.0
492,87,7,104.0
493,87,104,14.0
494,87,14,149.0
495,88,149,115.0
496,88,115,115.0
497,89,104,115.0
498,91,115,115.0
499,91,115,115.0
500,91,115,115.0
501,91,115,115.0
502,91,115,100.0
503,91,100,100.0
504,92,71,34.0
505,92,34,58.0
506,93,105,105.0
507,93,105,138.0
508,93,138,122.0
509,93,122,10.0
510,93,10,138.0
511,94,34,130.0
512,94,130,73.0
513,94,73,73.0
514,94,73,99.0
515,94,99,22.0
516,94,22,99.0
517,95,99,99.0
518,95,99,99.0
519,95,99,99.0
520,95,99,32.0
521,95,32,149.0
522,95,149,32.0
523,96,73,23.0
524,96,23,30.0
525,96,30,73.0
526,96,73,73.0
527,96,73,141.0
528,96,141,32.0
529,97,65,156.0
530,97,156,65.0
531,97,65,143.0
532,97,143,51.0
533,97,51,51.0
534,97,51,115.0
535,97,115,73.0
536,98,48,73.0
537,98,73,130.0
538,98,130,99.0
539,98,99,73.0
540,98,73,11.0
541,100,99,111.0
542,100,111,139.0
543,100,139,139.0
544,100,139,99.0
545,100,99,99.0
546,100,99,99.0
547,100,99,100.0
548,100,100,111.0
549,100,111,111.0
550,100,111,99.0
551,100,99,39.0
552,100,39,39.0
553,100,39,39.0
554,100,39,99.0
555,100,99,99.0
556,100,99,99.0
557,100,99,99.0
558,100,99,39.0
559,100,39,39.0
560,101,32,23.0
561,101,23,121.0
562,101,121,51.0
563,102,54,73.0
564,102,73,73.0
565,102,73,115.0
566,103,51,73.0
567,104,30,30.0
568,105,99,32.0
569,105,32,34.0
570,105,34,51.0
571,105,51,7.0
572,105,7,73.0
573,105,73,98.0
574,105,98,98.0
575,105,98,34.0
576,105,34,7.0
577,105,7,99.0
578,105,99,22.0
579,105,22,32.0
580,105,32,13.0
581,105,13,32.0
582,105,32,32.0
583,105,32,32.0
584,105,32,73.0
585,105,73,30.0
586,106,51,100.0
587,106,100,30.0
588,106,30,100.0
589,106,100,30.0
590,108,99,99.0
591,108,99,99.0
592,108,99,92.0
593,108,92,73.0
594,108,73,73.0
595,108,73,23.0
596,108,23,18.0
597,108,18,18.0
598,108,18,73.0
599,108,73,48.0
600,108,48,48.0
601,108,48,70.0
602,108,70,70.0
603,108,70,32.0
604,108,32,11.0
605,108,11,32.0
606,108,32,32.0
607,108,32,152.0
608,108,152,152.0
609,108,152,152.0
610,108,152,152.0
611,108,152,73.0
612,108,73,22.0
613,108,22,22.0
614,109,100,100.0
615,109,100,51.0
616,109,51,115.0
617,109,115,73.0
618,109,73,73.0
619,109,73,73.0
620,109,73,51.0
621,109,51,51.0
622,109,51,73.0
623,109,73,22.0
624,109,22,73.0
625,110,99,99.0
626,110,99,38.0
627,110,38,99.0
628,110,99,99.0
629,110,99,130.0
630,110,130,73.0
631,110,73,7.0
632,110,7,99.0
633,110,99,32.0
634,110,32,73.0
635,111,99,48.0
636,111,48,22.0
637,112,54,121.0
638,112,121,54.0
639,112,54,54.0
640,112,54,121.0
641,112,121,114.0
642,112,114,99.0
643,112,99,154.0
644,112,154,99.0
645,112,99,99.0
646,112,99,92.0
647,112,92,111.0
648,112,111,37.0
649,112,37,37.0
650,112,37,37.0
651,112,37,37.0
652,112,37,37.0
653,112,37,37.0
654,112,37,37.0
655,112,37,121.0
656,112,121,121.0
657,112,121,156.0
658,112,156,156.0
659,112,156,156.0
660,112,156,99.0
661,112,99,99.0
662,112,99,99.0
663,112,99,48.0
664,112,48,99.0
665,112,99,76.0
666,112,76,76.0
667,113,32,51.0
668,113,51,32.0
669,113,32,30.0
670,113,30,115.0
671,114,108,169.0
672,114,169,65.0
673,114,65,112.0
674,116,115,115.0
675,116,115,115.0
676,116,115,32.0
677,116,32,18.0
678,116,18,32.0
679,116,32,70.0
680,116,70,70.0
681,116,70,70.0
682,116,70,32.0
683,116,32,70.0
684,116,70,32.0
685,116,32,149.0
686,116,149,149.0
687,116,149,149.0
688,116,149,32.0
689,117,143,115.0
690,117,115,115.0
691,118,22,22.0
692,118,22,152.0
693,118,152,32.0
694,118,32,22.0
695,118,22,22.0
696,118,22,100.0
697,118,100,143.0
698,118,143,139.0
699,118,139,100.0
700,119,115,115.0
701,119,115,115.0
702,119,115,115.0
703,119,115,115.0
704,119,115,115.0
705,119,115,70.0
706,119,70,7.0
707,119,7,156.0
708,119,156,156.0
709,119,156,156.0
710,119,156,58.0
711,119,58,58.0
712,119,58,156.0
713,120,156,149.0
714,120,149,156.0
715,120,156,14.0
716,120,14,156.0
717,120,156,156.0
718,120,156,156.0
719,120,156,32.0
720,120,32,14.0
721,121,65,99.0
722,121,99,65.0
723,121,65,115.0
724,121,115,99.0
725,121,99,99.0
726,121,99,99.0
727,121,99,65.0
728,122,99,99.0
729,122,99,99.0
730,122,99,112.0
731,122,112,51.0
732,122,51,115.0
733,122,115,115.0
734,122,115,115.0
735,122,115,100.0
736,122,100,65.0
737,122,65,108.0
738,122,108,100.0
739,123,99,99.0
740,123,99,151.0
741,123,151,151.0
742,123,151,99.0
743,123,99,51.0
744,123,51,99.0
745,123,99,99.0
746,123,99,99.0
747,123,99,111.0
748,123,111,151.0
749,123,151,99.0
750,123,99,151.0
751,123,151,99.0
752,123,99,99.0
753,123,99,99.0
754,123,99,99.0
755,123,99,99.0
756,123,99,99.0
757,123,99,151.0
758,124,51,51.0
759,125,115,115.0
760,125,115,115.0
761,125,115,139.0
762,125,139,139.0
763,125,139,99.0
764,125,99,51.0
765,126,99,99.0
766,126,99,99.0
767,126,99,99.0
768,126,99,99.0
769,126,99,54.0
770,126,54,99.0
771,127,99,154.0
772,128,99,151.0
773,128,151,123.0
774,128,123,99.0
775,128,99,111.0
776,128,111,99.0
777,128,99,139.0
778,128,139,99.0
779,128,99,123.0
780,128,123,123.0
781,128,123,99.0
782,128,99,99.0
783,128,99,51.0
784,128,51,51.0
785,128,51,51.0
786,128,51,99.0
787,128,99,99.0
788,128,99,151.0
789,128,151,151.0
790,128,151,99.0
791,128,99,99.0
792,128,99,99.0
793,128,99,139.0
794,128,139,139.0
795,128,139,99.0
796,128,99,112.0
797,129,48,115.0
798,129,115,115.0
799,129,115,115.0
800,129,115,115.0
801,129,115,115.0
802,129,115,115.0
803,129,115,115.0
804,129,115,115.0
805,129,115,115.0
806,129,115,115.0
807,129,115,115.0
808,129,115,115.0
809,129,115,115.0
810,129,115,99.0
811,129,99,130.0
812,129,130,130.0
813,129,130,99.0
814,129,99,152.0
815,130,18,156.0
816,130,156,139.0
817,130,139,156.0
818,130,156,139.0
819,130,139,143.0
820,130,143,156.0
821,131,13,48.0
822,131,48,29.0
823,131,29,38.0
824,132,156,156.0
825,132,156,156.0
826,132,156,156.0
827,132,156,14.0
828,132,14,156.0
829,132,156,156.0
830,132,156,156.0
831,132,156,7.0
832,132,7,156.0
833,132,156,7.0
834,132,7,156.0
835,132,156,70.0
836,132,70,30.0
837,133,100,51.0
838,133,51,65.0
839,135,65,115.0
840,135,115,115.0
841,135,115,115.0
842,135,115,115.0
843,135,115,115.0
844,135,115,115.0
845,135,115,51.0
846,135,51,65.0
847,135,65,100.0
848,135,100,100.0
849,135,100,65.0
850,135,65,30.0
851,135,30,100.0
852,135,100,51.0
853,135,51,7.0
854,136,51,30.0
855,136,30,30.0
856,136,30,63.0
857,136,63,100.0
858,137,115,121.0
859,137,121,11.0
860,137,11,90.0
861,137,90,90.0
862,137,90,152.0
863,137,152,100.0
864,137,100,100.0
865,137,100,51.0
866,137,51,51.0
867,137,51,51.0
868,139,69,173.0
869,139,173,173.0
870,139,173,173.0
871,140,34,11.0
872,140,11,139.0
873,141,38,157.0
874,141,157,152.0
875,141,152,115.0
876,141,115,115.0
877,141,115,152.0
878,141,152,130.0
879,143,130,22.0
880,143,22,92.0
881,143,92,22.0
882,143,22,139.0
883,144,92,92.0
884,144,92,92.0
885,144,92,173.0
886,144,173,92.0
887,144,92,173.0
888,145,69,154.0
889,145,154,154.0
890,145,154,29.0
891,146,152,13.0
892,146,13,34.0
893,146,34,51.0
894,147,88,51.0
895,147,51,22.0
896,147,22,22.0
897,147,22,65.0
898,147,65,38.0
899,148,139,139.0
900,148,139,65.0
901,148,65,65.0
902,148,65,54.0
903,148,54,21.0
904,148,21,21.0
905,148,21,141.0
906,149,30,114.0
907,149,114,101.0
908,149,101,35.0
909,149,35,114.0
910,149,114,114.0
911,149,114,114.0
912,149,114,101.0
913,149,101,101.0
914,149,101,101.0
915,149,101,101.0
916,149,101,101.0
917,149,101,101.0
918,150,59,34.0
919,150,34,34.0
920,150,34,59.0
921,150,59,98.0
922,150,98,154.0
923,150,154,59.0
924,150,59,59.0
925,150,59,59.0
926,151,7,65.0
927,152,30,101.0
928,152,101,51.0
929,152,51,101.0
930,152,101,30.0
931,152,30,114.0
932,152,114,114.0
933,152,114,101.0
934,153,38,58.0
935,153,58,115.0
936,154,115,115.0
937,155,51,146.0
938,157,150,150.0
939,157,150,90.0
940,157,90,90.0
941,157,90,90.0
942,157,90,90.0
943,157,90,13.0
944,158,112,22.0
945,158,22,22.0
946,158,22,108.0
947,158,108,58.0
948,158,58,58.0
949,158,58,108.0
950,159,162,146.0
951,159,146,115.0
952,159,115,51.0
953,160,13,13.0
954,160,13,115.0
955,161,95,95.0
956,161,95,91.0
957,161,91,91.0
958,161,91,82.0
959,161,82,10.0
960,161,10,10.0
961,162,48,121.0
962,162,121,152.0
963,162,152,76.0
964,163,51,38.0
965,163,38,22.0
966,163,22,152.0
967,163,152,76.0
968,163,76,76.0
969,163,76,76.0
970,164,139,38.0
971,164,38,22.0
972,166,136,138.0
973,166,138,46.0
974,166,46,46.0
975,167,38,38.0
976,167,38,19.0
977,168,36,36.0
978,170,98,169.0
979,171,169,169.0
980,171,169,141.0
981,171,141,22.0
982,171,22,169.0
983,171,169,169.0
984,172,51,48.0
985,172,48,40.0
986,172,40,169.0
987,172,169,48.0
988,172,48,169.0
989,175,64,27.0
990,175,27,102.0
991,175,102,64.0
992,175,64,102.0
993,175,102,64.0
994,175,64,64.0
995,175,64,27.0
996,175,27,64.0
997,176,16,117.0
998,176,117,117.0
999,176,117,64.0
1000,176,64,20.0
1001,176,20,136.0
1002,176,136,136.0
